,#,الرقم الوزاري,اسم المدرسة,المرحلة,نوع التعليم,مكتب التعليم,الجنس,الحي,نوع البناء,الفترة,مستقلة/ملحقة,عدد الفصول ,حجم المدرسة,خط العرض,خط الطول,الموقع,CL,O&M,HVAC,All scope
456,457,32158,ابن ماجه الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الروابي,حكومي,صباحي,مشترك أساسي,25,كبير,21.4732,39.26522,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
457,458,32114,ابي داود الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,السروات,مستأجر,صباحي,مشترك أساسي,12,صغير,21.36164,39.22857,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
458,459,32318,الحسن بن سفيان الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الجوهرة,حكومي,صباحي,مشترك أساسي,30,كبير,21.44089,39.25271,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
459,460,32221,المغيرة بن شعبة الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الهنداوية,حكومي,صباحي,مشترك أساسي,22,كبير,21.47651,39.18561,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
460,461,32284,حارثة بن النعمان الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الروابي,مستأجر,صباحي,مشترك أساسي,19,وسط,21.47001,39.26784,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
461,462,32355,سعيد بن المسيب الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,القوزين,مستأجر,صباحي,مشترك أساسي,12,صغير,21.26586,39.17499,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
462,463,32194,سلمان الفارسي الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,النزلة اليمانية,حكومي,صباحي,مشترك أساسي,25,كبير,21.47158,39.20121,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
463,464,32195,سليمان بن عبدالملك الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,بترومين,حكومي,صباحي,مشترك أساسي,24,كبير,21.44455,39.19844,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
464,465,32207,عروة بن مسعود الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,غليل,حكومي,صباحي,مشترك أساسي,19,وسط,21.45182,39.20593,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
465,466,32180,مجمع الثغر الابتدائي - طريق مكة,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الثغر,حكومي,صباحي,مشترك أساسي,27,كبير,21.49778,39.19466,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
466,467,32336,مجمع الشاطئ الابتدائي,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,مدائن الفهد,حكومي,صباحي,مشترك أساسي,23,كبير,21.46531,39.24474,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
467,468,32175,مجمع الصديق الابتدائي,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,القريات,حكومي,صباحي,مشترك أساسي,12,صغير,21.45996,39.19776,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
468,469,32328,يحيى بن ايوب الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الروابي,مستأجر,صباحي,مشترك أساسي,18,وسط,21.47127,39.2677,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
469,470,M3932546,ابن البيطار الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,النزلة الشرقية,حكومي,صباحي,مشترك أساسي,18,وسط,21.47662,39.21778,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
470,471,M3932562,احمد بن حنبل الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الروابي,حكومي,صباحي,مشترك أساسي,19,وسط,21.4673,39.2727,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
471,472,M3932986,الامير تركي بن عبدالله الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الروابي,مستأجر,صباحي,مشترك أساسي,15,وسط,21.46992,39.27071,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
472,473,M3932579,الخمرة الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,القوزين,مستأجر,صباحي,مشترك أساسي,8,صغير,21.26621,39.17385,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
473,474,M132088,الرازي الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,بترومين,حكومي,صباحي,مشترك أساسي,17,وسط,21.44524,39.19914,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
474,475,M3933016,الفضيل بن عياض الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الروابي,مستأجر,صباحي,مشترك أساسي,15,وسط,21.48472,39.26493,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
475,476,M3932543,جرير الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الروابي,مستأجر,صباحي,مشترك أساسي,19,وسط,21.4727,39.26226,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
476,477,M3932902,زيد بن الارقم الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,القريات,حكومي,صباحي,مشترك أساسي,14,وسط,21.46775,39.19518,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
477,478,M33057,زيد بن سهل الانصاري الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,القريات,حكومي,صباحي,مشترك أساسي,17,وسط,21.45978,39.19677,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
478,479,M532523,مجمع الشاطئ الثانوي - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,مدائن الفهد,حكومي,صباحي,مشترك أساسي,28,كبير,21.46687,39.24445,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
479,480,M3932545,مجمع الصديق الثانوي - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,القريات,حكومي,صباحي,مشترك أساسي,13,وسط,21.46158,39.19778,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
480,481,M3933204,مدائن الفهد الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,النزلة الشرقية,حكومي,صباحي,مشترك أساسي,23,كبير,21.47377,39.22691,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
481,482,32409,الحديبية المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,النزلة اليمانية,حكومي,صباحي,مشترك أساسي,16,وسط,21.47349,39.20376,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
482,483,32413,الرازي المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,غليل,حكومي,صباحي,مشترك أساسي,18,وسط,21.44792,39.20285,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
483,484,32448,اوس بن الصامت المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الروابي,حكومي,صباحي,مشترك أساسي,17,وسط,21.4672,39.2733,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
484,485,32948,جبل النور المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الروابي,مستأجر,صباحي,مشترك أساسي,19,وسط,21.47026,39.26995,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
485,486,32411,حسان بن ثابت المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الثغر,حكومي,صباحي,مشترك أساسي,19,وسط,21.47988,39.23981,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
486,487,33012,ربعي بن عامر المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,مدائن الفهد,مستأجر,صباحي,مستقل,14,وسط,21.45955,39.24422,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
487,488,32463,زمزم المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الروابي,مستأجر,صباحي,مشترك أساسي,16,وسط,21.4742,39.2631,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
488,489,32464,عبدالله بن جعفر المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الجوهرة,حكومي,صباحي,مشترك أساسي,15,وسط,21.44532,39.2558,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
489,490,32415,عكاظ المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,مدائن الفهد,حكومي,صباحي,مشترك أساسي,23,كبير,21.46406,39.22712,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
490,491,32473,عمير بن ابي وقاص المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,الروابي,مستأجر,صباحي,مشترك أساسي,17,وسط,21.47836,39.26453,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
491,492,32484,مجمع الشاطئ المتوسط,المرحلة المتوسطة,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,مدائن الفهد,حكومي,صباحي,مشترك أساسي,22,كبير,21.46685,39.24446,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
492,493,32419,مجمع الصديق المتوسط,المرحلة المتوسطة,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,القريات,حكومي,صباحي,مشترك أساسي,15,وسط,21.46054,39.19635,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
493,494,33113,معاوية بن ابي سفيان المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم الجوهرة-بنين,بنين,القرينية,مستأجر,صباحي,مشترك أساسي,12,صغير,21.30652,39.23349,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
494,495,32308,الامام الشوكاني الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الحمدانية-بنين,بنين,بريمان,مستأجر,صباحي,مشترك أساسي,23,كبير,21.64943,39.22958,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
495,496,32339,الربيع بن زياد الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الحمدانية-بنين,بنين,طيبة,حكومي,صباحي,مستقل,18,وسط,21.79783722,39.14705646,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
496,497,26126,الغولاء الابتدائية بعسفان,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الحمدانية-بنين,بنين,عسفان,حكومي,صباحي,مشترك أساسي,6,صغير,21.94571,39.27853,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
497,498,26118,الهنية الابتدائية بعسفان,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الحمدانية-بنين,بنين,عسفان,حكومي,صباحي,مشترك أساسي,9,صغير,21.84172,39.5175,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
498,499,32253,خالد بن سعيد الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الحمدانية-بنين,بنين,الكوثر,مستأجر,صباحي,مشترك أساسي,13,وسط,21.72962,39.19859,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
499,500,26147,عسفان الابتدائية بعسفان,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الحمدانية-بنين,بنين,عسفان,حكومي,صباحي,مشترك أساسي,3,صغير,21.92122,39.35354,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
500,501,32212,عمرو بن العاص الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الحمدانية-بنين,بنين,طيبة,حكومي,صباحي,مشترك أساسي,12,صغير,21.81051,39.12846,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
501,502,26150,فيده الابتدائية بعسفان,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الحمدانية-بنين,بنين,عسفان,حكومي,صباحي,مشترك أساسي,5,صغير,21.91106,39.40414,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
502,503,33223,مالك بن عامر الاشعري الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الحمدانية-بنين,بنين,البشائر,حكومي,صباحي,مشترك أساسي,26,كبير,21.79311,39.18104,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
503,504,32905,الفزاري المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم الحمدانية-بنين,بنين,طيبة,حكومي,صباحي,مستقل,13,وسط,21.7973217,39.14702428,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
504,505,32451,القعقاع بن عمرو المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم الحمدانية-بنين,بنين,بريمان,حكومي,صباحي,مشترك أساسي,18,وسط,21.64741,39.22625,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
505,506,26332,ضرار بن الأزور المتوسطة بعسفان,المرحلة المتوسطة,تعليم عام,مكتب تعليم الحمدانية-بنين,بنين,عسفان,حكومي,صباحي,مشترك أساسي,6,صغير,21.90658,39.35229,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
506,507,132075,عامر بن واثلة المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم الحمدانية-بنين,بنين,البشائر,حكومي,صباحي,مستقل,21,وسط,21.79315,39.18004,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
507,508,32373,ابن الجزري الابتدائية لتحفيظ القران الكريم,المرحلة الإبتدائية,تحفيظ قران,مكتب تعليم السلامة-بنين,بنين,الفيصلية,حكومي,صباحي,مستقل,24,كبير,21.57989,39.19141,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
508,509,33064,الامام ابي عمرو البصري الابتدائية لتحفيظ القران الكريم,المرحلة الإبتدائية,تحفيظ قران,مكتب تعليم السلامة-بنين,بنين,الخالدية,حكومي,صباحي,مستقل,6,صغير,21.56491,39.13753,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
509,510,32965,الامام شعبة بن عياش الابتدائية لتحفيظ القران الكريم,المرحلة الإبتدائية,تحفيظ قران,مكتب تعليم السلامة-بنين,بنين,السلامة,حكومي,صباحي,مشترك أساسي,6,صغير,21.60274,39.15195,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
510,511,132056,مركز خدمات التربية الخاصة,المرحلة الإبتدائية,معهد,مكتب تعليم السلامة-بنين,بنين,السلامة,حكومي,صباحي,مشترك اساسي,22,كبير,21.59872,39.15702,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
511,512,32892,معهد الامل الابتدائي,المرحلة الإبتدائية,معهد,مكتب تعليم السلامة-بنين,بنين,السلامة,حكومي,صباحي,مشترك اساسي,22,كبير,21.59811,39.15694,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
512,513,32883,معهد التربية الفكرية الابتدائي 1,المرحلة الإبتدائية,معهد,مكتب تعليم السلامة-بنين,بنين,السلامة,حكومي,صباحي,مشترك اساسي,24,كبير,21.59753,39.15739,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
513,514,32167,ابي بن كعب الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الفيصلية,حكومي,صباحي,مشترك أساسي,21,وسط,21.56409,39.18939,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
514,515,32166,ابي هريرة الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الربوة,مستأجر,صباحي,مشترك أساسي,17,وسط,21.61046,39.17214,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
515,516,32301,الامام الشاطبي الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الربوة,مستأجر,صباحي,مستقل,9,صغير,21.61157,39.17691,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
516,517,32255,الامير سلطان بن سلمان الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,النزهة,حكومي,صباحي,مستقل,24,كبير,21.62518,39.16412,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
517,518,32309,المهاجرين الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الربوة,مستأجر,صباحي,مشترك أساسي,18,وسط,21.59041,39.19463,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
518,519,32275,النموذجية الثانية الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الفيصلية,حكومي,صباحي,مستقل,21,وسط,21.57853,39.16941,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
519,520,32282,شداد بن اوس الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الربوة,حكومي,صباحي,مستقل,27,كبير,21.59998,39.18909,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
520,521,32247,عبدالرحمن بن ابي بكر الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,البوادي,حكومي,صباحي,مستقل,21,وسط,21.60303,39.16968,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
521,522,32199,عبدالرحمن بن عوف الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,النزهة,حكومي,صباحي,مشترك أساسي,26,كبير,21.62685,39.15679,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
522,523,32333,مجمع الامير سلطان الابتدائي,المرحلة الإبتدائية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,السلامة,حكومي,صباحي,مستقل,20,وسط,21.59104,39.14615,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
523,524,32179,مجمع الثغر الابتدائي - الخالدية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الخالدية,حكومي,صباحي,مستقل,21,وسط,21.56487632,39.13811084,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
524,525,32241,مجمع النور الابتدائي,المرحلة الإبتدائية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,السلامة,حكومي,صباحي,مستقل,15,وسط,21.58725,39.14744,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
525,526,M3932895,معهد الامل الثانوي - مسارات,المرحلة الثانوية,معهد,مكتب تعليم السلامة-بنين,بنين,السلامة,حكومي,صباحي,مشترك اساسي,26,كبير,21.57338,39.22761,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
526,527,33101,معهد التربية الفكرية الثانوي 1,المرحلة الثانوية,معهد,مكتب تعليم السلامة-بنين,بنين,السلامة,حكومي,صباحي,مشترك اساسي,28,كبير,21.59753,39.15738,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
527,528,M532547,الزهراوي الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الروضة,حكومي,صباحي,مشترك أساسي,24,كبير,21.55874,39.15972,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
528,529,M32576,النهروان الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,النزهة,حكومي,صباحي,مشترك أساسي,21,وسط,21.62674,39.15764,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
529,530,M32572,ام القرى الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الفيصلية,حكومي,صباحي,مشترك أساسي,20,وسط,21.57941,39.1689,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
530,531,M32553,بدر الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الفيصلية,حكومي,صباحي,مشترك أساسي,21,وسط,21.58061,39.171,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
531,532,M3933228,خالد بن الوليد الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الفيصلية,حكومي,صباحي,مشترك أساسي,21,وسط,21.58112,39.17395,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
532,533,M3932566,عمر بن عبدالعزيز الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الربوة,مستأجر,صباحي,مشترك أساسي,16,وسط,21.61576,39.18617,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
533,534,M3932985,عمورية الثانوية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الربوة,حكومي,صباحي,مشترك أساسي,26,كبير,21.59349,39.18434,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
534,535,M32559,مجمع الامير سلطان الثانوي - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,السلامة,حكومي,صباحي,مشترك أساسي,25,كبير,21.58912,39.14668,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
535,536,M532541,مجمع الثغر الثانوي - الخالدية - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الخالدية,حكومي,صباحي,مشترك أساسي,17,وسط,21.56382,39.13712,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
536,537,M533017,مجمع السلامة الثانوي - مسارات,المرحلة الثانوية,تعليم عام,مكتب تعليم السلامة-بنين,بنين,السلامة,حكومي,صباحي,مشترك أساسي,18,وسط,21.602,39.15263,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
537,538,32518,الامام ورش المتوسطة لتحفيظ القران الكريم,المرحلة المتوسطة,تحفيظ قران,مكتب تعليم السلامة-بنين,بنين,السلامة,حكومي,صباحي,مستقل,15,وسط,21.60251,39.15138,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
538,539,33225,الشيخ عبدالله الخليفي المتوسطة لتحفيظ القران الكريم,المرحلة المتوسطة,تحفيظ قران,مكتب تعليم السلامة-بنين,بنين,الخالدية,حكومي,صباحي,مستقل,5,صغير,21.56484,39.13795,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
539,540,32699,معهد التربية الفكرية المتوسط 1,المرحلة المتوسطة,معهد,مكتب تعليم السلامة-بنين,بنين,السلامة,حكومي,صباحي,مشترك اساسي,14,وسط,21.59753,39.15739,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
540,541,32471,ابي جندل المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الربوة,مستأجر,صباحي,مشترك أساسي,12,صغير,21.61285,39.17991,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
541,542,32445,الامام الذهبي المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الربوة,حكومي,صباحي,مشترك أساسي,18,وسط,21.61008,39.18702,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
542,543,32437,الامير تركي بن عبدالعزيز المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم السلامة-بنين,بنين,البوادي,حكومي,صباحي,مشترك أساسي,19,وسط,21.60361,39.16532,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
543,544,32427,الامير خالد بن فهد المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الفيصلية,حكومي,صباحي,مشترك أساسي,18,وسط,21.57321,39.18679,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
544,545,32460,الحسن بن علي المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الفيصلية,حكومي,صباحي,مستقل,22,كبير,21.58084,39.17459,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
545,546,32418,الملك فهد المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الروضة,حكومي,صباحي,مستقل,21,وسط,21.55496,39.16706,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
546,547,33002,الواقدي المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الربوة,مستأجر,صباحي,مستقل,12,صغير,21.61178,39.17582,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
547,548,32458,عدي بن حاتم المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم السلامة-بنين,بنين,النزهة,حكومي,صباحي,مستقل,28,كبير,21.62806,39.16997,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
548,549,32432,عمرو بن الجموح المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الربوة,مستأجر,صباحي,مستقل,13,وسط,21.59025,39.19472,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
549,550,32479,مجمع الامير سلطان المتوسط,المرحلة المتوسطة,تعليم عام,مكتب تعليم السلامة-بنين,بنين,السلامة,حكومي,صباحي,مستقل,21,وسط,21.58954,39.14661,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
550,551,32407,مجمع الثغر المتوسط - الخالدية,المرحلة المتوسطة,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الخالدية,حكومي,صباحي,مستقل,18,وسط,21.56362,39.13806,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
551,552,32429,مجمع السلامة المتوسط,المرحلة المتوسطة,تعليم عام,مكتب تعليم السلامة-بنين,بنين,السلامة,حكومي,صباحي,مستقل,15,وسط,21.60198,39.15296,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
552,553,32454,محمد بن علي بن ابي طالب المتوسطة,المرحلة المتوسطة,تعليم عام,مكتب تعليم السلامة-بنين,بنين,الروضة,حكومي,صباحي,مستقل,12,صغير,21.56377,39.14837,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
553,554,32371,الامام حمزة الكوفي الابتدائية لتحفيظ القران الكريم,المرحلة الإبتدائية,تحفيظ قران,مكتب تعليم الصفا-بنين,بنين,الرحاب,حكومي,صباحي,مشترك أساسي,24,كبير,21.54679,39.23178,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
554,555,33084,الشيخ محمد بن ابراهيم الابتدائية لتحفيظ القران الكريم,المرحلة الإبتدائية,تحفيظ قران,مكتب تعليم الصفا-بنين,بنين,السامر,مستأجر,صباحي,مستقل,9,صغير,21.58323,39.2339,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
555,556,32256,الامير سعود بن عبدالمحسن الابتدائية,المرحلة الإبتدائية,تعليم عام,مكتب تعليم الصفا-بنين,بنين,الرحاب,حكومي,صباحي,مستقل,15,وسط,21.55871,39.21955,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
